NetworkSet,NSTypicalBandwidth,NSMaximumBandwidth,UplinkSet,LogicalInterConnectGroup,NetworkName,Description,Type,vLANID,vLANType,Subnet,TypicalBandwidth,MaximumBandwidth,SmartLink,PrivateNetwork,Purpose
#Configure Ethernet networks,,,,,,,,,,,,,,,
# Use this sheet to define settings for Ethernet networks to be created in OneView.  ,,,,,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,,,,,
# For specific settings - See Definition below,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"# List of networkset names 
# where a given network can belong to
# Use '|' as separator
# Note: a network can belong to multipe network sets","# List of associated typical bandwidth 
# defined for a given network set
# Use '| as separator
# Value range: [2, 20000]","# List of associated MAX bandwidth 
# defined for a given network set
# Use '| as separator
# Value range: [100, 20000]","# Note: if the networkset is already used in server profile, 
# when you add new network, 
# you need to provide the
#uplinkset and 
#associated Logical Interconnect Group","# Note: if the networkset is already used in server profile, 
# when you add new network, 
# you need to provide the
#uplinkset and 
#associated Logical Interconnect Group",# Network Name,,#Must be Ethernet,"# Valid range:
# [2, 4095]","# Possible Values:
# Tagged (Default)
# Untagged
# Tunnel","# N/A for C7000
# Subnet name as defined in Addresses and Identifiers","# Typical bandwidth 
# Value range: [2, 20000]","# Maximum bandwidth 
# Value range: [100, 20000]",# Yes / No,# Yes / No,"# General
# Management
# VMMigration
# FaultTolerance
# iSCSI"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Guest-a,,Ethernet,3,Tagged,,2,10,Yes,No,General
,,,,,Guest-b,,Ethernet,3,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,Management-a-Encl1,,Ethernet,13,Tagged,,2,10,Yes,Yes,Management
,,,,,,,,,,,,,,,
,,,,,Management-b-Encl1,,Ethernet,13,Tagged,,2,10,Yes,Yes,Management
,,,,,,,,,,,,,,,
,,,,,Management-a-Encl2,,Ethernet,12,Tagged,,2,10,Yes,No,Management
,,,,,,,,,,,,,,,
,,,,,Management-b-Encl2,,Ethernet,12,Tagged,,2,10,Yes,No,Management
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SP-NS-a,2,10,Academy-SUS1A,Encl1-FlexFabric20_40,SP-backend-Guest-a_101,,Ethernet,101,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-b,2,10,,,SP-backend-Guest-b_101,,Ethernet,101,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-a,2,10,,,SP-FrontEnd-Internet-a_104,,Ethernet,104,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-b,2,10,,,SP-Frontend-Internet-b_104,,Ethernet,104,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-a,2,10,,,SP-Management-a_100,,Ethernet,100,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-b,2,10,,,SP-Management-b_100,,Ethernet,100,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,,,,
SP-NS-a,2,10,,,SP-LM-CSV-a_102,,Ethernet,102,Tagged,,2,10,Yes,No,VMMigration
,,,,,,,,,,,,,,,
SP-NS-b,2,10,,,SP-LM-CSV-b_103,,Ethernet,103,Tagged,,2,10,Yes,No,VMMigration
,,,,,,,,,,,,,,,
SP-NS-a,2,10,,,RRAS-a,,Ethernet,25,Tagged,,2,10,Yes,No,VMMigration
,,,,,,,,,,,,,,,
SP-NS-b,2,10,,,RRAS-b,,Ethernet,25,Tagged,,2,10,Yes,No,VMMigration
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,LM-CSV-a,,Ethernet,14,Tagged,,2,10,Yes,No,VMMigration
,,,,,,,,,,,,,,,
,,,,,LM-CSV-b,,Ethernet,15,Tagged,,2,10,Yes,No,VMMigration
