TemplateName,Description,StoragePool,StorageSystem,Capacity,ProvisionningType,Shared,,,,,,
,,,,,,,,,,,,
#Configure Storage Volume Template - TBD,,,,,,,,,,,,
# Use this sheet to define settings for Storage Volume Template to be created in OneView.  ,,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,,
# For specific settings - see definition below,,,,,,,,,,,,
#,,,,,,,,,,,,
,,,,,,,,,,,,
#TemplateName,,# Storage Pool Name,# Storage System name or IP,# in GB,# Possible values : Thin or Thick,# Yes /No,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SVT-4,Tempate with No StorageSystem - Thick - 120 GB,ScaleTestingDomain_CPG_4,,120,Thick,Yes,,,,,,
,,,,,,,,,,,,
SVT-5,Tempate with StorageSystem specified  - Thin - 200 GB,ScaleTestingDomain_CPG_5,172.18.11.12,240,Thin,No,,,,,,
,,,, ,,,,,,,,
