NetworkSet,NSTypicalBandwidth,NSMaximumBandwidth,NetworkName,Type,vLANID,vLANType,Subnet,TypicalBandwidth,MaximumBandwidth,SmartLink,PrivateNetwork,Purpose
#Configure Ethernet networks,,,,,,,,,,,,
# Use this sheet to define settings for Ethernet networks to be created in OneView.  ,,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,,
# For specific settings - See Definition below,,,,,,,,,,,,
,,,,,,,,,,,,
"# List of networkset names 
# where a given network can belong to
# Use '|' as separator
# Note: a network can belong to multipe network sets","# List of associated typical bandwidth 
# defined for a given network set
# Use '| as separator
# Value range: [2, 20000]","# List of associated MAX bandwidth 
# defined for a given network set
# Use '| as separator
# Value range: [100, 20000]",# Network Name,#Must be Ethernet,"# Valid range:
# [2, 4095]","# Possible Values:
# Tagged (Default)
# Untagged
# Tunnel","# N/A for C7000
# Subnet name as defined in Addresses and Identifiers","# Typical bandwidth 
# Value range: [2, 20000]","# Maximum bandwidth 
# Value range: [100, 20000]",# Yes / No,# Yes / No,"# General
# Management
# VMMigration
# FaultTolerance
# iSCSI"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Production,,,P101,Ethernet,101,,,2,10,Yes,No,General
Production,,,P102,Ethernet,102,,,2,10,Yes,No,General
Production,,,P103,Ethernet,103,,,2,10,Yes,No,General
Production,,,P104,Ethernet,104,,,2,10,Yes,No,General
Production,,,P105,Ethernet,105,,,2,10,Yes,No,General
Production,,,P106,Ethernet,106,,,2,10,Yes,No,General
Production,,,P107,Ethernet,107,,,2,10,Yes,No,General
Production,,,P108,Ethernet,108,,,2,10,Yes,No,General
Production,,,P109,Ethernet,109,,,2,10,Yes,No,General
Production,,,P110,Ethernet,110,,,2,10,Yes,No,General
Production,,,P111T,Ethernet,111,Tagged,,2,10,Yes,No,General
Production,,,P112T,Ethernet,112,Tagged,,2,10,Yes,No,General
Production,,,P113T,Ethernet,113,Tagged,,2,10,Yes,No,General
Production,,,P114T,Ethernet,114,Tagged,,2,10,Yes,No,General
Production,,,P115T,Ethernet,115,Tagged,,2,10,Yes,No,General
Production,,,P116T,Ethernet,116,Tagged,,2,10,Yes,No,General
Production,,,P117T,Ethernet,117,Tagged,,2,10,Yes,No,General
Production,,,P118T,Ethernet,118,Tagged,,2,10,Yes,No,General
Production,,,P119T,Ethernet,119,Tagged,,2,10,Yes,No,General
Production,,,P120T,Ethernet,120,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,
Staging,,,S201,Ethernet,201,,,2,10,Yes,No,General
Staging,,,S202,Ethernet,202,,,2,10,Yes,No,General
Staging,,,S203,Ethernet,203,,,2,10,Yes,No,General
Staging,,,S204,Ethernet,204,,,2,10,Yes,No,General
Staging,,,S205,Ethernet,205,,,2,10,Yes,No,General
Staging,,,S206,Ethernet,206,,,2,10,Yes,No,General
Staging,,,S207,Ethernet,207,,,2,10,Yes,No,General
Staging,,,S208,Ethernet,208,,,2,10,Yes,No,General
Staging,,,S209,Ethernet,209,,,2,10,Yes,No,General
Staging,,,S210,Ethernet,210,,,2,10,Yes,No,General
Staging,,,S211T,Ethernet,211,Tagged,,2,10,Yes,No,General
Staging,,,S212T,Ethernet,212,Tagged,,2,10,Yes,No,General
Staging,,,S213T,Ethernet,213,Tagged,,2,10,Yes,No,General
Staging,,,S214T,Ethernet,214,Tagged,,2,10,Yes,No,General
Staging,,,S215T,Ethernet,215,Tagged,,2,10,Yes,No,General
Staging,,,S216T,Ethernet,216,Tagged,,2,10,Yes,No,General
Staging,,,S217T,Ethernet,217,Tagged,,2,10,Yes,No,General
Staging,,,S218T,Ethernet,218,Tagged,,2,10,Yes,No,General
Staging,,,S219T,Ethernet,219,Tagged,,2,10,Yes,No,General
Staging,,,S220T,Ethernet,220,Tagged,,2,10,Yes,No,General
,,,,,,,,,,,,
Test,,,T301,Ethernet,301,,,0.5,2,Yes,No,General
Test,,,T302,Ethernet,302,,,0.5,2,Yes,No,General
Test,,,T303,Ethernet,303,,,0.5,2,Yes,No,General
Test,,,T304,Ethernet,304,,,0.5,2,Yes,No,General
Test,,,T305,Ethernet,305,,,0.5,2,Yes,No,General
Test,,,T306,Ethernet,306,,,0.5,2,Yes,No,General
Test,,,T307,Ethernet,307,,,0.5,2,Yes,No,General
Test,,,T308,Ethernet,308,,,0.5,2,Yes,No,General
Test,,,T309,Ethernet,309,,,0.5,2,Yes,No,General
Test,,,T310,Ethernet,310,,,0.5,2,Yes,No,General
Test,,,T311T,Ethernet,311,Tagged,,0.5,2,Yes,No,General
Test,,,T312T,Ethernet,312,Tagged,,0.5,2,Yes,No,General
Test,,,T313T,Ethernet,313,Tagged,,0.5,2,Yes,No,General
Test,,,T314T,Ethernet,314,Tagged,,0.5,2,Yes,No,General
Test,,,T315T,Ethernet,315,Tagged,,0.5,2,Yes,No,General
Test,,,T316T,Ethernet,316,Tagged,,0.5,2,Yes,No,General
Test,,,T317T,Ethernet,317,Tagged,,0.5,2,Yes,No,General
Test,,,T318T,Ethernet,318,Tagged,,0.5,2,Yes,No,General
Test,,,T319T,Ethernet,319,Tagged,,0.5,2,Yes,No,General
Test,,,T320T,Ethernet,320,Tagged,,0.5,2,Yes,No,General
,,,,,,,,,,,,
Dev,,,D401,Ethernet,401,,,0.5,2,Yes,No,General
Dev,,,D402,Ethernet,402,,,0.5,2,Yes,No,General
Dev,,,D403,Ethernet,403,,,0.5,2,Yes,No,General
Dev,,,D404,Ethernet,404,,,0.5,2,Yes,No,General
Dev,,,D405,Ethernet,405,,,0.5,2,Yes,No,General
Dev,,,D406,Ethernet,406,,,0.5,2,Yes,No,General
Dev,,,D407,Ethernet,407,,,0.5,2,Yes,No,General
Dev,,,D408,Ethernet,408,,,0.5,2,Yes,No,General
