StorageHostName,StorageAdminName,StorageAdminPassword,StoragePorts,StorageDomainName,StoragePools,,,,,,,
,,,,,,,,,,,,
#Configure Storage System,,,,,,,,,,,,
# Use this sheet to define settings for Storage System to be created in OneView.  ,,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,,
,,,,,,,,,,,,
# For specific settings - See Definition below,,,,,,,,,,,,
,,,,,,,,,,,,
# IP address or host name,,,"# Mapping between StorageSystem Ports to SAN switches
# A string composed of multiple fields , separated by  |
# Syntax: Port_Number: VSAN""",# Domain names in the Storage,# Storage Pool Names,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
172.18.11.11,dcs,dcs,0:2:1=VSAN20|0:2:2=VSAN21|0:4:1=VSAN10|0:4:2=VSAN11|1:2:1=VSAN20|1:2:2=VSAN21|1:4:1=VSAN10|1:4:2=VSAN11,TestDomain,CPG-SSD-AO|CPG-SSD,#ThreePAR7200-6710,,,,,,
,,,,,,,,,,,,
172.18.11.12,dcs,dcs,0:2:1=VSAN20|0:2:2=VSAN21|0:4:1=VSAN10|0:4:2=VSAN11|1:2:1=VSAN20|1:2:2=VSAN21|1:4:1=VSAN10|1:4:2=VSAN11,ScaleTestingDomain,ScaleTestingDomain_CPG_4|ScaleTestingDomain_CPG_5,#ThreePAR7200-6955,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
